Date,ProductionVolume,TruckCount,ExcavatorCount,OperatorCount,Weather
2022-10-30,102.95,28,14,30,Cloudy
2022-11-06,102.63,27,17,18,Cloudy
2022-11-13,129.02,31,10,39,Sunny
2022-11-20,145.89,53,20,37,Light Rain
2022-11-27,145.46,52,14,34,Cloudy
2022-12-04,113.27,42,11,24,Cloudy
2022-12-11,166.99,43,20,42,Sunny
2022-12-18,132.18,56,8,30,Light Rain
2022-12-25,165.11,54,15,21,Sunny
2023-01-01,162.05,59,21,21,Light Rain
2023-01-08,137.04,41,23,23,Light Rain
2023-01-15,138.26,46,21,36,Light Rain
2023-01-22,159.97,54,19,29,Cloudy
2023-01-29,148.74,20,22,39,Cloudy
2023-02-05,145.15,54,9,24,Cloudy
2023-02-12,165.59,56,9,44,Sunny
2023-02-19,164.32,33,24,27,Sunny
2023-02-26,130.12,22,17,43,Sunny
2023-03-05,85.32,20,13,36,Light Rain
2023-03-12,117.96,24,22,24,Light Rain
2023-03-19,134.4,45,18,20,Sunny
2023-03-26,108.36,33,12,30,Sunny
2023-04-02,142.41,58,8,30,Light Rain
2023-04-09,134.28,46,15,35,Light Rain
2023-04-16,124.27,28,19,43,Light Rain
2023-04-23,134.39,34,19,37,Cloudy
2023-04-30,121.62,34,12,25,Sunny
2023-05-07,116.92,45,14,26,Light Rain
2023-05-14,111.74,32,11,24,Sunny
2023-05-21,128.68,51,13,18,Cloudy
2023-05-28,166.87,58,20,20,Sunny
2023-06-04,142.21,51,22,30,Light Rain
2023-06-11,115.05,23,10,42,Sunny
2023-06-18,124.47,49,15,34,Cloudy
2023-06-25,200.0,56,23,42,Sunny
2023-07-02,147.9,42,20,41,Light Rain
2023-07-09,138.15,58,17,18,Light Rain
2023-07-16,124.37,34,24,23,Light Rain
2023-07-23,148.74,48,12,38,Cloudy
2023-07-30,154.26,55,16,23,Sunny
2023-08-06,147.67,32,19,43,Sunny
2023-08-13,138.78,51,8,29,Cloudy
2023-08-20,99.08,26,8,30,Cloudy
2023-08-27,179.93,41,22,30,Sunny
2023-09-03,160.7,47,9,32,Sunny
2023-09-10,148.83,21,23,38,Sunny
2023-09-17,104.88,25,15,33,Cloudy
2023-09-24,155.85,47,20,39,Cloudy
2023-10-01,126.48,47,8,38,Cloudy
2023-10-08,147.3,39,23,28,Cloudy
2023-10-15,108.09,49,14,22,Cloudy
2023-10-22,97.41,30,12,21,Cloudy
2023-10-29,131.43,47,10,20,Sunny
2023-11-05,148.76,44,19,36,Sunny
2023-11-12,189.98,58,23,37,Cloudy
2023-11-19,144.61,52,12,42,Cloudy
2023-11-26,109.68,20,21,35,Light Rain
2023-12-03,164.84,46,12,32,Cloudy
2023-12-10,113.89,32,22,26,Cloudy
2023-12-17,113.51,22,24,34,Light Rain
2023-12-24,167.93,58,21,31,Cloudy
2023-12-31,111.48,25,12,32,Sunny
2024-01-07,128.1,27,19,18,Sunny
2024-01-14,164.06,46,23,38,Light Rain
2024-01-21,146.72,28,23,39,Cloudy
2024-01-28,143.77,56,14,39,Light Rain
2024-02-04,156.34,52,11,20,Cloudy
2024-02-11,95.8,43,8,33,Light Rain
2024-02-18,104.67,34,12,40,Light Rain
2024-02-25,154.2,51,17,42,Light Rain
2024-03-03,129.39,51,12,28,Light Rain
2024-03-10,144.38,43,11,29,Sunny
2024-03-17,119.3,31,9,27,Cloudy
2024-03-24,176.8,58,17,33,Sunny
2024-03-31,85.64,21,8,25,Cloudy
2024-04-07,75.0,22,12,23,Light Rain
2024-04-14,182.88,56,20,29,Sunny
2024-04-21,137.82,36,11,41,Sunny
2024-04-28,112.31,21,23,38,Light Rain
2024-05-05,119.93,21,23,25,Cloudy
2024-05-12,153.85,47,9,43,Cloudy
2024-05-19,109.92,42,24,21,Light Rain
2024-05-26,192.61,56,19,43,Sunny
2024-06-02,130.8,51,10,25,Cloudy
2024-06-09,146.48,52,8,43,Light Rain
2024-06-16,102.5,20,8,35,Sunny
2024-06-23,140.01,38,18,22,Cloudy
2024-06-30,86.74,21,12,26,Cloudy
2024-07-07,116.2,45,19,21,Cloudy
2024-07-14,163.02,51,10,44,Cloudy
2024-07-21,108.06,25,8,39,Sunny
2024-07-28,122.7,51,8,34,Cloudy
2024-08-04,90.66,23,15,26,Light Rain
2024-08-11,118.61,30,17,18,Sunny
2024-08-18,148.23,36,18,38,Cloudy
2024-08-25,193.42,57,19,37,Sunny
2024-09-01,135.46,43,20,30,Light Rain
2024-09-08,98.15,24,19,33,Light Rain
2024-09-15,154.37,53,21,30,Light Rain
2024-09-22,100.15,25,9,31,Cloudy
2024-09-29,131.19,41,10,20,Sunny
2024-10-06,131.25,30,24,23,Sunny
2024-10-13,137.5,35,15,35,Sunny
2024-10-20,153.09,52,17,36,Light Rain
2024-10-27,94.47,28,9,22,Light Rain
2024-11-03,135.16,25,16,32,Sunny
2024-11-10,123.32,35,14,42,Light Rain
2024-11-17,132.13,48,11,19,Sunny
2024-11-24,104.04,22,20,27,Light Rain
2024-12-01,148.59,39,18,41,Sunny
2024-12-08,131.33,55,11,35,Light Rain
2024-12-15,150.1,38,11,44,Cloudy
2024-12-22,147.52,45,17,30,Cloudy
2024-12-29,99.52,22,12,22,Sunny
